   Tempo(ms)  Sensor1    Sensor2    Sensor3    Sensor4    Sensor5    Sensor6    Sensor7    Sensor8    Sensor9  
   0000000       000        000        000        000        000        000        000        000        000 
   0000500       005        005        005        005        007        006        005        006        006 
   0001001       006        005        006        005        005        005        005        005        005 
   0001502       005        005        005        005        006        005        006        005        006 
   0002003       005        005        005        007        006        006        006        005        005 
   0002504       005        005        005        005        005        005        005        006        005 
   0003005       006        005        006        005        005        005        005        005        005 
   0003506       005        005        005        005        005        004        005        005        006 
   0004007       006        006        005        005        005        005        005        005        005 
   0004508       006        005        006        005        005        005        005        005        005 
   0005008       006        006        005        006        007        007        005        005        005 
   0005509       005        005        005        005        005        005        005        005        006 
   0006009       005        005        006        007        006        006        005        006        006 
   0006509       006        005        005        005        005        005        006        006        006 
   0007010       006        006        006        006        006        005        006        005        005 
