   Tempo(s)   Sensor1    Sensor2    Sensor3    Sensor4    Sensor5    Sensor6    Sensor7    Sensor8    Sensor9  
   000000       000        000        000        000        000        000        000        000        000 
   000000       006        005        005        005        005        005        006        005        006 
   000001       005        006        006        006        006        006        007        007        006 
   000001       005        005        004        004        005        005        006        006        006 
   000002       007        005        006        006        006        006        006        005        005 
   000002       006        006        006        005        005        005        006        006        005 
   000003       006        006        006        007        006        005        005        005        005 
   000003       006        006        005        004        005        004        006        005        005 
   000004       006        007        007        006        006        006        005        006        005 
   000004       006        005        005        005        006        006        005        005        006 
   000005       005        005        006        005        007        005        006        005        006 
   000005       006        006        006        005        005        005        005        006        006 
   000006       006        007        006        006        007        006        005        006        006 
   000006       006        007        006        006        005        006        007        006        007 
   000007       006        006        006        006        007        007        006        006        006 
