   Tempo       Sensor1    Sensor2    Sensor3    Sensor4    Sensor5    Sensor6    Sensor7    Sensor8    Sensor9  
   0000000       000        000        000        000        000        000        000        000        000 
   0000101       257        304        273        299        289        224        441        224        251 
   0000202       257        304        273        299        289        224        441        224        251 
   0000303       257        304        273        299        289        224        441        224        251 
   0000403       257        304        273        299        289        224        441        224        251 
   0000504       257        304        273        299        288        224        440        224        251 
   0000605       257        304        273        299        289        224        440        224        251 
   0000706       257        304        273        299        289        224        440        224        251 
   0000807       257        304        272        299        289        224        440        222        249 
   0000908       256        304        272        299        288        224        440        224        251 
   0001009       256        304        272        299        288        224        438        224        249 
   0001110       256        304        272        299        288        224        438        224        249 
   0001211       256        304        270        299        288        224        438        224        249 
   0001312       256        304        270        299        288        224        438        224        249 
   0001413       256        302        270        299        288        224        436        224        249 
   0001514       256        302        270        299        288        224        436        224        249 
   0001615       256        302        270        299        288        224        436        224        249 
   0001716       256        302        270        299        288        224        436        224        249 
   0001817       256        302        268        299        288        224        435        224        249 
   0001918       254        300        268        299        288        224        435        224        249 
   0002019       254        300        268        299        286        224        435        224        249 
   0002120       254        300        268        299        286        224        433        224        249 
   0002221       254        300        268        299        286        224        433        222        249 
   0002322       254        300        267        297        286        224        433        224        248 
   0002422       254        300        267        297        286        224        433        224        248 
   0002523       254        300        267        297        286        224        432        224        248 
   0002624       254        300        267        297        286        224        432        224        248 
   0002725       254        299        267        297        286        224        432        224        248 
   0002825       254        299        265        297        286        224        430        224        248 
   0002926       254        299        265        297        286        224        430        224        248 
   0003027       254        299        265        297        286        224        430        224        248 
   0003128       252        299        265        297        286        224        430        224        248 
   0003229       254        299        265        297        286        224        428        224        248 
   0003330       252        299        265        297        286        224        428        224        248 
   0003430       252        299        265        296        286        224        427        224        248 
   0003531       252        299        264        296        286        222        427        224        248 
   0003631       252        299        264        296        286        224        427        224        248 
   0003732       252        299        264        296        286        224        427        224        248 
   0003833       252        297        264        296        284        224        425        224        248 
   0003934       252        297        264        296        284        222        425        224        248 
   0004034       252        297        264        296        284        224        424        224        248 
   0004134       252        297        264        296        284        222        424        224        248 
   0004235       251        296        262        296        284        224        424        224        248 
   0004336       251        296        262        294        284        224        422        224        248 
   0004437       251        296        262        296        284        224        422        224        248 
   0004539       251        296        260        294        284        224        422        224        248 
   0004640       251        296        262        296        284        222        420        224        248 
   0004741       251        296        260        294        284        222        420        224        248 
   0004842       251        296        260        294        284        224        420        224        246 
   0004943       251        296        260        294        283        222        419        224        246 
   0005044       251        296        260        294        283        222        419        224        246 
   0005145       251        294        260        294        283        222        417        224        246 
   0005245       251        294        260        294        283        222        417        224        246 
   0005345       251        294        260        294        283        222        417        224        246 
   0005446       251        294        260        292        283        222        417        224        246 
   0005547       251        294        259        292        283        222        416        224        246 
   0005648       249        292        259        292        283        222        416        224        246 
   0005749       249        292        259        292        283        222        414        224        246 
   0005849       249        292        259        292        283        222        414        224        246 
   0005950       249        292        259        292        283        222        412        224        246 
   0006051       249        292        259        292        283        222        412        224        246 
   0006153       249        292        257        292        283        222        412        224        246 
   0006254       249        292        257        292        283        222        412        224        246 
   0006355       248        292        257        292        283        222        411        224        246 
   0006456       248        291        257        292        283        222        411        224        244 
   0006557       249        291        256        292        281        222        411        224        246 
   0006658       248        291        256        292        281        222        409        224        244 
   0006759       248        291        256        292        281        222        408        224        244 
   0006860       248        291        256        291        281        222        408        224        244 
   0006960       248        291        254        292        281        222        408        224        244 
   0007060       248        289        254        291        281        220        408        224        244 
   0007161       248        291        254        291        281        222        406        224        244 
   0007262       248        289        254        291        281        222        406        224        244 
   0007363       248        289        254        291        280        222        404        224        244 
   0007464       248        289        254        291        281        222        404        224        244 
   0007565       248        289        254        291        280        222        404        224        244 
   0007667       248        289        254        289        280        222        403        224        243 
   0007768       248        288        254        289        280        222        401        224        243 
   0007869       248        288        252        289        280        222        401        224        243 
   0007969       248        288        252        289        280        222        401        222        243 
   0008070       246        288        252        289        280        222        400        224        243 
   0008171       246        288        251        289        280        222        400        224        243 
   0008272       246        288        251        289        280        222        400        224        243 
   0008373       246        286        251        289        280        222        398        224        243 
   0008474       246        286        251        289        280        222        398        222        243 
   0008574       246        286        251        289        280        222        398        224        243 
   0008675       246        286        251        289        280        220        398        224        243 
   0008776       246        286        249        288        280        220        396        222        243 
   0008877       246        286        249        288        280        220        396        224        243 
   0008978       246        286        249        288        280        220        396        224        243 
   0009079       246        286        249        288        278        222        395        224        243 
   0009180       246        286        249        288        280        220        393        224        243 
   0009281       244        284        248        288        278        220        393        224        243 
   0009382       244        284        248        288        278        220        393        224        243 
   0009483       244        284        248        288        278        220        393        224        243 
   0009584       244        284        248        286        278        220        392        222        243 
   0009685       244        283        248        286        278        220        392        222        243 
   0009786       244        283        248        286        278        220        390        224        241 
   0009887       244        283        248        286        278        220        388        224        241 
   0009987       244        283        248        286        276        220        388        222        241 
   0010088       244        283        248        286        276        220        388        224        241 
   0010189       243        283        246        286        276        220        387        222        241 
   0010290       243        283        246        286        276        220        387        224        241 
   0010390       243        281        246        286        276        220        387        222        241 
   0010490       243        281        246        286        276        220        385        224        241 
   0010590       243        281        246        284        276        220        385        222        241 
   0010690       243        281        244        284        276        220        385        222        241 
   0010790       243        280        244        284        276        220        384        222        241 
   0010890       243        281        244        284        276        220        384        222        241 
   0010990       243        280        244        284        276        220        382        222        241 
   0011090       243        280        243        284        276        220        380        222        241 
   0011190       243        280        243        284        276        220        380        222        241 
   0011290       243        280        243        284        276        220        379        222        240 
   0011390       243        280        243        283        275        220        379        222        240 
   0011490       243        280        243        283        276        220        379        222        238 
   0011591       243        280        243        283        275        220        379        222        240 
   0011691       243        280        243        283        275        220        377        222        240 
   0011791       243        280        243        283        275        220        377        222        240 
   0011891       241        278        243        283        275        219        376        222        240 
   0011991       241        278        241        283        275        220        376        222        240 
   0012091       241        278        241        283        275        220        376        222        240 
   0012192       241        278        241        283        275        220        374        222        240 
   0012292       241        278        241        283        275        220        374        222        238 
   0012392       241        276        241        283        275        220        374        222        240 
   0012492       241        276        241        281        275        220        372        222        240 
   0012592       241        276        240        281        273        220        372        222        238 
   0012692       241        276        240        281        275        220        371        222        238 
   0012793       241        276        240        281        273        220        371        222        238 
   0012893       241        276        240        281        273        220        371        222        238 
   0012995       241        276        240        281        273        220        369        222        238 
   0013096       240        276        240        281        273        220        369        222        238 
   0013197       240        276        238        281        273        220        368        222        238 
   0013297       240        276        238        280        273        219        368        222        238 
   0013398       240        275        238        280        273        220        368        222        238 
   0013500       240        275        238        280        273        219        368        222        238 
   0013601       240        275        238        280        273        219        366        222        238 
   0013702       240        275        238        280        273        220        366        222        238 
   0013803       240        273        238        280        273        219        366        222        238 
   0013903       240        273        236        280        273        219        364        222        238 
   0014004       240        275        236        280        273        219        364        222        238 
   0014105       238        273        236        280        272        219        364        222        238 
   0014206       238        273        236        280        272        219        363        222        238 
   0014307       238        273        236        280        272        219        363        222        238 
   0014408       238        273        238        278        272        219        363        222        238 
   0014510       238        273        236        278        272        219        361        222        236 
   0014611       238        273        236        278        272        219        361        222        236 
   0014712       238        273        236        278        272        219        361        222        236 
   0014813       238        272        235        278        272        219        360        222        236 
   0014914       238        272        235        278        272        219        360        222        236 
   0015016       238        272        236        278        272        219        360        222        236 
   0015117       238        272        235        278        272        219        358        222        236 
   0015218       238        272        235        276        272        219        358        222        236 
   0015319       238        272        235        276        272        219        358        222        236 
   0015419       238        272        235        276        272        219        356        222        236 
   0015521       238        272        235        276        270        219        356        222        236 
   0015622       238        270        233        276        272        219        355        222        236 
   0015723       236        270        233        276        270        219        355        222        236 
   0015824       236        270        233        276        270        219        355        222        236 
   0015925       236        270        233        276        270        219        355        222        236 
   0016026       236        270        233        276        270        219        353        222        236 
   0016127       236        270        233        276        270        219        353        222        236 
   0016228       236        270        233        276        270        219        352        222        236 
   0016329       236        270        233        276        270        219        352        222        236 
   0016430       236        270        233        275        270        217        352        222        236 
   0016531       236        270        233        276        270        219        350        222        235 
